Name,Age restrictions:,Project/Program Description,Address,Website,Zip Code,Category 1,Category 2,Category 3
ADWAS (Abused Deaf Women's Advocacy Services),16,"ADWAS is committed to providing services to Deaf and Deaf-Blind victims of sexual assault and/or domestic violence. The mission of ADWAS is a belief that violence is a learned behavior and it should not be tolerated. A program that provides a safe, and hearing-impaired friendly living situation for women who need it.","Abused Deaf Women's Advocacy Services
 8623 Roosevelt Way NE
 Seattle WA 98115",http://www.adwas.org,98115,Abilities,Family,
Urban Artworks,15,"Urban ArtWorks empowers young people through professional opportunities in the arts. By providing subsidized employment, volunteer, and entrepreneurial experiences, we improve young lives as well as the surrounding community.  UrbanArtWorks aims to create a safe and liberated zone providing opportunities for positive expression, technical skill advancement, and quality job opportunities and training for youth. Through this work we hope to see positive changes in our participants including the gaining of a sense of community, team work, self-confidence, and employability. The ultimate goal through this growth is to provide steps towards self-sufficiency. 
 ","815 Seattle Blvd S Suite B7, Seattle, WA 98134",https://urbanartworks.org/,98134,Arts,Youth,Civic
American Diabetes Association,13,"The mission of the Association is to prevent and cure diabetes and to improve the lives of all people affected by diabetes. The American Diabetes Association is the nation's leading 501(C)3 nonprofit health organization providing diabetes research, information and advocacy.","180 Nickerson Street Suite 309 Seattle, WA 98109",http://www.diabetes.org/,98109,Civic,Differently Abled,Health
American Heart Association,13,"Our mission is to build healthier lives, free of cardiovascular diseases and stroke. That single purpose drives all we do. The American Heart Association links to many organizations to promote healthy living and eating right. Volunteers are needed to advocate and help raise money for treatment of heart disease and educate the community about heart disease.","710 2nd Ave, Suite 900
Seattle, WA 98104",http://www.americanheart.org,98104,Civic,Health,
American Red Cross,13,"The mission of the American Red Cross is to provide relief to victims of disasters and help people prevent, prepare for and respond to emergencies. We are guided by our Fundamental Principles of humanity, impartiality, neutrality, independence, voluntary service, unity and universality. The Red Cross brings together local volunteers to care for their neighbors, trains 65,000 people each year in life-saving skills, and responds to a local disaster once every 42 hours. With offices in Seattle and Bremerton, we serve the people, businesses and communities of King, Kitsap and North Mason counties.","1900 25th Avenue South
 PO Box 3097
 Seattle, WA 98144",http://www.seattleredcross.org/,98144,Civic,Differently Abled,Health
Amnesty International USA,13,"We are people from across the world standing up for humanity and human rights. Our purpose is to protect people wherever justice, freedom, truth and dignity are denied. We investigate and expose abuses, educate and mobilize the public, and help transform societies to create a safer, more just world. We received the Nobel Peace Prize for our life-saving work. Founded in 1961, our organization has campaigned successfully in recent years for the International Criminal Court and a UN Torture Treaty. Through our research and action, governments have been persuaded to stop human rights violations and change their laws and practices. Death sentences have been commuted. Torturers have been brought to justice. And prisoners of conscience have been released.","Western Office 
 350 Sansome St, Ste 210
 San Francisco, CA 94104",http://www.amnestyusa.org,94104,Civic,International,
Books to Prisoners,15,"BTP believes that books are tools for learning and opening minds to new ideas and possibilities. By sending books to prisoners, we hope to foster a love of reading and encourage the pursuit of knowledge and self-improvement. Books To Prisoners (BTP) is a Seattle-based, all-volunteer, nonprofit organization that sends books to prisoners in the United States.","Books to Prisoners
 c/o Left Bank Books
 92 Pike Street, Box A
 Seattle, WA 98101",http://www.bookstoprisoners.net/volunteer/,98101,Civic,,
City of Lynnwood,13,"The mission of our Volunteer Program is to bring our citizens together to achieve a stronger, more connected community while enabling Lynnwood Parks, Recreation & Cultural Arts to continue to offer an excellent variety of high quality and affordable recreational, educational, and cultural programs through the use of volunteer expertise.","19100 44th Ave W, Lynnwood, WA 98036",https://www.lynnwoodwa.gov/Community/Play-Lynnwood/Healthy-Lynnwood/Community-Events/PRCA-Volunteers,98036,Civic,Office-Clerical,Environment
City of Seattle,13,"Provide consistent high level services which promote and strengthen a world class government prepared to meet the emerging needs of the 21st century. Ultimately, improving the quality of life for individuals (and the community at large) by being one of the top‐tier local government agencies in our nation and by building on our interdisciplinary strengths. ","100 Dexter Ave N, Seattle WA 98109",http://www.seattle.gov/parks/volunteer/teen-service-learning,98109,Civic,Homeless,Low-income
City of Shoreline Parks Department,13," Mission: fulfilling the community's vision through highly valued public services.
 Values- Integrity: Act with honesty, openness, and accountability. Teamwork: Accomplish goals, resolve issues through quality communication and collaboration.Respect: Listen, value others, and treat everyone with fairness and dignity. Innovation: Learn from experience, explore new ideas, and implement creative solutions.ustainability: Exemplify and encourage sustainable practices in our organization and community.","17500 Midvale Ave N, Shoreline, Wa 98133-4905",http://www.shorelinewa.gov/government/departments/parks-recreation-cultural-services,98133,Civic,Environment,
